date,ticker,pe,pb,roe,net_margin,gross_margin,operating_margin,debt_to_equity,current_ratio,revenue_growth,market_cap
2026-01-09,A,31.825327,6.120512,0.20618999,0.18754,0.52432,0.26384002,52.559,1.957,0.094,41323020288.0
2026-01-09,AAPL,34.72386,51.90142,1.7142199,0.26915002,0.46905,0.31647,152.411,0.893,0.079,3844254728192.0
2026-01-09,ABBV,169.79546,-149.91974,1.37961,0.04004,0.71461,0.35497,,0.725,0.091,396123897856.0
2026-01-09,ABNB,33.01429,9.791681,0.30776,0.2203,0.83036005,0.39683,26.458,1.392,0.097,84892598272.0
2026-01-09,ABT,15.851759,4.3060436,0.3062,0.3188,0.56259996,0.19395,25.31,1.703,0.069,219611119616.0
2026-01-09,ACN,23.310175,5.6181974,0.25016,0.107609995,0.31968,0.16974,25.694,1.411,0.06,174767538176.0
2026-01-09,ADBE,20.289648,12.163743,0.55426,0.29997,0.89268,0.36503,57.197,0.996,0.105,143820767232.0
2026-01-09,ADI,65.74945,4.3318853,0.06573,0.20575,0.61467,0.30501,26.5,2.19,0.259,146484920320.0
2026-01-09,AEE,19.14231,2.1068451,0.11387,0.1634,0.47099,0.34,155.736,0.93,0.248,26925064192.0
2026-01-09,AEM,27.261696,3.9824443,0.15667,0.32625,0.70238,0.53104997,1.427,2.12,0.419,93616619520.0
2026-01-09,AEP,16.973646,2.0414164,0.12923001,0.17228001,0.48422,0.25885,152.132,0.686,0.109,62053339136.0
2026-01-09,AG,127.85714,3.3741753,0.0421,0.07075,0.48259997,0.26966,7.886,3.379,0.951,8777373696.0
2026-01-09,AGI,32.515625,4.334513,0.14274,0.33462003,0.64177,0.80684,6.831,1.717,0.281,17473499136.0
2026-01-09,AI,-14.516942,2.5118053,-0.46765998,-1.08055,0.51764,-1.49192,7.965,6.466,-0.203,1946617856.0
2026-01-09,AIG,14.010792,1.0323898,0.07688,0.120170005,0.34012002,0.15235,22.48,0.617,-0.041,43156901888.0
2026-01-09,ALGN,33.12233,3.105181,0.095769994,0.095010005,0.69254994,0.15673,3.064,1.289,0.018,12364725248.0
2026-01-09,ALL,6.8450065,2.168598,0.34469002,0.12533,0.28204,0.24439,29.43,0.426,0.038,55625977856.0
2026-01-09,AMAT,32.55954,10.940025,0.35508,0.24669,0.48675,0.28441,34.533,2.61,-0.035,224366379008.0
2026-01-09,AMD,107.72631,5.481521,0.05317,0.10323,0.51457,0.13736,6.366,2.308,0.356,333227556864.0
2026-01-09,AMGN,25.510818,18.480097,0.8171,0.19474001,0.70051,0.34153,567.491,1.28,0.124,177757831168.0
2026-01-09,AMT,27.165869,20.178888,0.28839,0.28106,0.74285007,0.45477,418.09,0.59,0.077,79757230080.0
2026-01-09,AMZN,34.835926,7.120883,0.24327,0.11063,0.50046,0.11057,43.405,1.009,0.134,2632893333504.0
2026-01-09,AON,28.180145,9.54081,0.3769,0.15962,0.46758,0.20365,214.88,1.058,0.074,75894095872.0
2026-01-09,APD,18.895931,3.8698688,-0.01923,-0.03277,0.31413,-0.89169,106.228,1.381,-0.006,58145419264.0
2026-01-09,ARKK,24.282076,,,,,,,,,
2026-01-09,ASML,42.18721,20.857384,0.53852004,0.29378,0.52711,0.32841998,14.24,1.308,0.007,463572500480.0
2026-01-09,AU,19.969297,5.978596,0.38715,0.26251,0.45924,0.42491,24.231,2.581,0.621,45975126016.0
2026-01-09,AVB,22.476192,2.1807067,0.09754,0.38122,0.63443,0.2928,73.165,0.707,0.044,26209867776.0
2026-01-09,AVGO,69.99579,5.614225,0.31048,0.36198002,0.77325994,0.31765,166.032,1.705,0.164,1576378695680.0
2026-01-09,AXP,25.703358,8.140024,0.33935001,0.16143999,0.64135003,0.22052999,185.273,1.602,0.122,266508992512.0
2026-01-09,AZO,23.094007,-17.02363,,0.12776,0.52146,0.16941999,,0.86,0.082,55120482304.0
2026-01-09,BA,100.27077,-20.921972,,-0.12197,0.01195,-0.204,,1.182,0.304,178054742016.0
2026-01-09,BAC,15.349727,1.4803299,0.09871,0.29224002,0.0,0.35292998,,,0.126,424726396928.0
2026-01-09,BDX,35.193825,2.306378,0.06544,0.07683,0.47431,0.17858,78.85,1.113,0.083,58562179072.0
2026-01-09,BEP,-22.288977,2.434956,0.0073,-0.057779998,0.55556,0.1297,110.589,0.582,0.086,18293512192.0
2026-01-09,BIDU,12.691823,1.2673035,0.03076,0.06898,0.44752,0.03525,33.81,1.907,-0.071,49244024832.0
2026-01-09,BIIB,16.955332,1.4986223,0.09307,0.1598,0.76563,0.30718002,36.194,2.716,0.028,27286622208.0
2026-01-09,BILL,21.309175,1.4304445,0.00302,0.00795,0.83849,-0.02994,49.494,1.674,0.104,5475665920.0
2026-01-09,BKNG,35.460762,-37.1429,,0.19371,0.86992997,0.44904998,,1.334,0.127,176471834624.0
2026-01-09,BKR,17.310345,2.7272234,0.1689,0.104329996,0.21353,0.13524,33.042,1.409,0.015,49536049152.0
2026-01-09,BLK,28.0103,3.039732,0.120740004,0.26638,0.47664002,0.3214,24.32,2.256,0.252,168791785472.0
2026-01-09,BMY,18.821548,6.134767,0.33777002,0.12572,0.73146003,0.31566,274.414,1.266,0.028,113798602752.0
2026-01-09,BSX,52.609623,6.233684,0.12488,0.1443,0.68329,0.20731,50.973,1.508,0.203,145842634752.0
2026-01-09,BTG,29.999998,1.8,0.07229,0.08753,0.61599,0.31756002,18.916,1.034,0.747,6012619776.0
2026-01-09,C,16.938202,1.1124538,0.06995,0.19488001,0.0,0.30606002,,,0.116,222012293120.0
2026-01-09,CAT,31.25026,13.776362,0.46283,0.14339,0.3012,0.17746,201.046,1.384,0.095,284896067584.0
2026-01-09,CB,13.074352,1.7176756,0.1364,0.16442,0.29035,0.25623,30.958,0.38,0.091,124790063104.0
2026-01-09,CCI,24.60553,-24.627039,-2.06679,-0.71931,0.71168,0.49254,,0.259,-0.043,36806684672.0
2026-01-09,CCJ,120.18182,9.412279,0.080979995,0.15184,0.36308998,0.13426,14.854,2.991,-0.147,46180315136.0
2026-01-09,CDE,27.633804,4.073075,0.19572,0.24034001,0.48680001,0.33276,12.172,1.999,0.769,12600060928.0
2026-01-09,CDNS,81.95372,16.6911,0.21736,0.20354,0.85545,0.35089,47.685,3.048,0.101,86869803008.0
2026-01-09,CDW,16.754742,6.7995486,0.43007,0.04757,0.21604,0.07953,239.737,1.39,0.04,17369481216.0
2026-01-09,CEG,36.903893,7.018911,0.19839,0.11026,0.20131999,0.16332,61.51,1.563,0.003,116853047296.0
2026-01-09,CHPT,-2.0482967,4.331485,-2.13875,-0.58095,0.29931,-0.41955003,882.477,1.586,0.061,166281216.0
2026-01-09,CHTR,5.813973,1.7691225,0.31327,0.092939995,0.55237,0.23858999,497.907,0.375,-0.009,28644497408.0
2026-01-09,CI,12.562389,1.8105582,0.15538,0.02293,0.09551,0.04,81.021,0.828,0.095,75839692800.0
2026-01-09,CL,22.652662,76.14877,2.93635,0.1447,0.60148,0.2023,680.048,0.93,0.019,65360818176.0
2026-01-09,CMCSA,4.6860466,1.0619235,0.24186,0.18333,0.71882004,0.17735,101.462,0.882,-0.027,111180251136.0
2026-01-09,CME,25.837212,3.4036689,0.13346,0.58946997,1.0,0.63386,13.372,1.021,-0.03,96150331392.0
2026-01-09,CMG,34.672565,16.123457,0.44958,0.13036,0.40191,0.16134001,154.574,1.542,0.075,52535873536.0
2026-01-09,CMS,20.129683,2.4601133,0.11233,0.12622,0.42327,0.26174998,191.676,0.899,0.16,21256736768.0
2026-01-09,COF,87.86254,1.4994048,0.01615,0.04899,0.0,0.38719,,,0.679,163511779328.0
2026-01-09,COIN,21.226448,4.118979,0.26005,0.43664002,0.84822,0.25254,48.559,2.404,0.589,66225209344.0
2026-01-09,COP,13.943503,1.878985,0.15421,0.14445,0.47415,0.19543,36.169,1.323,0.14,123295588352.0
2026-01-09,COST,49.02571,13.408777,0.30325,0.02961,0.12876001,0.03659,26.968,1.038,0.083,406358917120.0
2026-01-09,CPRT,23.95092,3.9362774,0.18124,0.34243,0.47624,0.37289003,1.039,7.939,0.007,37791412224.0
2026-01-09,CRM,34.830215,4.088862,0.12184,0.17913,0.77729,0.23862,19.385,0.984,0.086,248024563712.0
2026-01-09,CRWD,95.95808,29.111961,-0.088149995,-0.06882,0.74277,-0.05589,20.154,1.811,0.222,116940898304.0
2026-01-09,CSCO,28.555984,6.2135596,0.22418,0.17902,0.64847,0.23604,63.228,0.927,0.075,292222959616.0
2026-01-09,CSX,22.935066,5.156957,0.22589001,0.20548001,0.46293,0.35071,155.283,0.847,-0.009,65846263808.0
2026-01-09,CTAS,41.18182,17.075928,0.43396,0.17584999,0.50249,0.23417999,72.656,1.705,0.093,76664881152.0
2026-01-09,CVS,212.10526,1.4035943,0.0057800002,0.0011999999,0.13352,0.022650002,111.821,0.832,0.078,102316253184.0
2026-01-09,CVX,22.429577,1.6890459,0.07316,0.06767,0.40602002,0.098529994,21.239,1.152,-0.014,320860454912.0
