ticker,sector,industry,name,market_cap,quote_type,updated_at
COF,Financial Services,Credit Services,Capital One Financial Corporati,154993410048.0,EQUITY,2026-01-02T11:36:15.314584
SQ,,,,,NONE,2026-01-02T11:36:13.255819
LI,Consumer Cyclical,Auto Manufacturers,Li Auto Inc.,17154903040.0,EQUITY,2026-01-02T11:36:51.307926
BEP,Utilities,Utilities - Renewable,Brookfield Renewable Partners L,18368428032.0,EQUITY,2026-01-02T11:36:20.439324
QCLN,ETF - Other,Exchange Traded Fund,First Trust NASDAQ Clean Edge G,,ETF,2026-01-02T11:36:38.953334
DIA,Broad Market ETF,Exchange Traded Fund,SPDR Dow Jones Industrial Avera,39042899968.0,ETF,2026-01-02T11:36:33.735242
OR,Basic Materials,Gold,OR Royalties Inc.,6652820480.0,EQUITY,2026-01-02T11:36:11.042054
MDT,Healthcare,Medical Devices,Medtronic plc.,123208097792.0,EQUITY,2026-01-02T11:36:28.762337
V,Financial Services,Credit Services,Visa Inc.,676834246656.0,EQUITY,2026-01-02T11:36:39.656197
HL,Basic Materials,Other Precious Metals & Mining,Hecla Mining Company,12859194368.0,EQUITY,2026-01-02T11:36:26.201150
AVB,Real Estate,REIT - Residential,"AvalonBay Communities, Inc.",25815465984.0,EQUITY,2026-01-02T11:36:32.105644
AMC,Communication Services,Entertainment,"AMC Entertainment Holdings, Inc",800191936.0,EQUITY,2026-01-02T11:36:30.829619
PNC,Financial Services,Banks - Regional,"PNC Financial Services Group, I",82017738752.0,EQUITY,2026-01-02T11:36:37.713119
LRCX,Technology,Semiconductor Equipment & Materials,Lam Research Corporation,215863508992.0,EQUITY,2026-01-02T11:36:31.820705
USB,Financial Services,Banks - Regional,U.S. Bancorp,83038273536.0,EQUITY,2026-01-02T11:36:41.467330
WBD,Communication Services,Entertainment,"Warner Bros. Discovery, Inc. - ",71427448832.0,EQUITY,2026-01-02T11:36:24.514799
UNP,Industrials,Railroads,Union Pacific Corporation,137209978880.0,EQUITY,2026-01-02T11:36:10.870929
DE,Industrials,Farm & Heavy Construction Machinery,Deere & Company,125911285760.0,EQUITY,2026-01-02T11:36:38.433973
ABNB,Consumer Cyclical,Travel Services,"Airbnb, Inc.",83092619264.0,EQUITY,2026-01-02T11:36:13.171765
PATH,Technology,Software - Infrastructure,"UiPath, Inc.",8764547072.0,EQUITY,2026-01-02T11:36:30.393018
URNM,Energy,Exchange Traded Fund,Sprott Uranium Miners ETF,,ETF,2026-01-02T11:36:16.775196
SWK,Industrials,Tools & Accessories,"Stanley Black & Decker, Inc.",11504855040.0,EQUITY,2026-01-02T11:36:47.211375
BAC,Financial Services,Banks - Diversified,Bank of America Corporation,407382097920.0,EQUITY,2026-01-02T11:36:48.755093
DHR,Healthcare,Diagnostics & Research,Danaher Corporation,163918528512.0,EQUITY,2026-01-02T11:36:45.509924
DUK,Utilities,Utilities - Regulated Electric,Duke Energy Corporation (Holdin,91149672448.0,EQUITY,2026-01-02T11:36:21.568533
NLR,Energy,Exchange Traded Fund,VanEck Uranium and Nuclear ETF,,ETF,2026-01-02T11:36:44.907047
AXP,Financial Services,Credit Services,American Express Company,257441644544.0,EQUITY,2026-01-02T11:36:44.622491
SIRI,Communication Services,Entertainment,SiriusXM Holdings Inc.,6733125632.0,EQUITY,2026-01-02T11:36:41.896713
DM,,,,,NONE,2026-01-02T11:36:09.928020
EQIX,Real Estate,REIT - Specialty,"Equinix, Inc.",75226243072.0,EQUITY,2026-01-02T11:36:37.792117
SPG,Real Estate,REIT - Retail,"Simon Property Group, Inc.",69824790528.0,EQUITY,2026-01-02T11:36:28.510839
MMM,Industrials,Conglomerates,3M Company,85274017792.0,EQUITY,2026-01-02T11:36:27.069269
SLB,Energy,Oil & Gas Equipment & Services,SLB Limited,57336786944.0,EQUITY,2026-01-02T11:36:43.704110
NET,Technology,Software - Infrastructure,"Cloudflare, Inc.",69057929216.0,EQUITY,2026-01-02T11:36:51.806131
HON,Industrials,Conglomerates,Honeywell International Inc.,131465240576.0,EQUITY,2026-01-02T11:36:10.373455
DOW,Basic Materials,Chemicals,Dow Inc.,16617740288.0,EQUITY,2026-01-02T11:36:23.977884
QQQ,Technology,Exchange Traded Fund,"Invesco QQQ Trust, Series 1",241485266944.0,ETF,2026-01-02T11:36:52.431661
