date,ticker,strong_buy,buy,hold,sell,strong_sell,analyst_score
2025-12-01,AAPL,15,23,16,2,0,0.9107142857142857
2026-01-01,AAPL,14,21,16,2,0,0.8867924528301887
2026-02-01,AAPL,14,21,17,2,0,0.8703703703703703
2026-03-01,AAPL,14,22,16,2,0,0.8888888888888888
2025-12-01,ADBE,14,18,12,2,0,0.9565217391304348
2026-01-01,ADBE,14,18,11,3,0,0.9347826086956522
2026-02-01,ADBE,12,16,14,4,0,0.782608695652174
2026-03-01,ADBE,12,15,15,4,0,0.7608695652173914
2025-12-01,ADI,11,18,12,0,0,0.975609756097561
2026-01-01,ADI,12,18,11,0,0,1.024390243902439
2026-02-01,ADI,12,18,13,0,0,0.9767441860465116
2026-03-01,ADI,12,20,11,0,0,1.0232558139534884
2025-12-01,ADP,2,4,13,2,0,0.2857142857142857
2026-01-01,ADP,1,2,13,6,2,-0.25
2026-02-01,ADP,2,5,12,2,1,0.22727272727272727
2026-03-01,ADP,2,5,12,2,1,0.22727272727272727
2025-12-01,AEM,4,11,1,0,0,1.1875
2026-01-01,AEM,4,11,1,0,0,1.1875
2026-02-01,AEM,4,10,3,0,0,1.0588235294117647
2026-03-01,AEM,4,9,4,0,0,1.0
2025-12-01,AG,3,7,3,0,0,1.0
2026-01-01,AG,3,7,3,0,0,1.0
2026-02-01,AG,3,7,3,0,0,1.0
2026-03-01,AG,3,6,4,0,0,0.9230769230769231
2025-12-01,AGI,3,11,1,0,0,1.1333333333333333
2026-01-01,AGI,3,11,1,0,0,1.1333333333333333
2026-02-01,AGI,3,11,1,0,0,1.1333333333333333
2026-03-01,AGI,3,11,1,0,0,1.1333333333333333
2025-12-01,AKAM,7,11,10,4,0,0.65625
2026-01-01,AKAM,7,12,10,3,0,0.71875
2026-02-01,AKAM,7,13,11,2,0,0.7575757575757576
2026-03-01,AKAM,7,13,11,2,0,0.7575757575757576
2025-12-01,AMAT,10,17,12,1,0,0.9
2026-01-01,AMAT,10,17,13,0,0,0.925
2026-02-01,AMAT,10,23,10,0,0,1.0
2026-03-01,AMAT,11,24,8,0,0,1.069767441860465
2025-12-01,AMD,15,30,13,0,1,0.9830508474576272
2026-01-01,AMD,15,29,13,0,1,0.9827586206896551
2026-02-01,AMD,15,31,13,0,1,0.9833333333333333
2026-03-01,AMD,15,32,13,0,1,0.9836065573770492
2025-12-01,AMZN,21,52,5,0,0,1.205128205128205
2026-01-01,AMZN,21,52,4,0,0,1.2207792207792207
2026-02-01,AMZN,21,50,5,0,0,1.2105263157894737
2026-03-01,AMZN,21,50,5,0,0,1.2105263157894737
2025-12-01,AN,7,8,7,0,0,1.0
2026-01-01,AN,6,8,7,0,0,0.9523809523809523
2026-02-01,AN,6,9,6,0,0,1.0
2026-03-01,AN,6,9,6,0,0,1.0
2025-12-01,APH,4,14,7,0,0,0.88
2026-01-01,APH,4,14,7,0,0,0.88
2026-02-01,APH,4,15,6,0,0,0.92
2026-03-01,APH,4,15,6,0,0,0.92
2025-12-01,APTV,8,13,6,2,0,0.9310344827586207
2026-01-01,APTV,7,13,7,1,0,0.9285714285714286
2026-02-01,APTV,7,14,7,1,0,0.9310344827586207
2026-03-01,APTV,7,15,6,1,0,0.9655172413793104
2025-12-01,ARM,7,16,15,2,0,0.7
2026-01-01,ARM,7,16,15,3,0,0.6585365853658537
2026-02-01,ARM,6,21,13,3,1,0.6363636363636364
2026-03-01,ARM,6,21,14,2,1,0.6590909090909091
2025-12-01,ASML,6,25,9,1,0,0.8780487804878049
2026-01-01,ASML,6,24,9,1,0,0.875
2026-02-01,ASML,8,24,8,1,1,0.8809523809523809
2026-03-01,ASML,8,25,7,1,1,0.9047619047619048
2025-12-01,AU,4,9,2,1,0,1.0
2026-01-01,AU,4,9,2,1,0,1.0
2026-02-01,AU,4,9,2,1,0,1.0
2026-03-01,AU,4,9,2,1,0,1.0
2025-12-01,AVGO,17,35,3,0,0,1.2545454545454546
2026-01-01,AVGO,17,36,3,0,0,1.25
2026-02-01,AVGO,17,37,2,0,0,1.2678571428571428
2026-03-01,AVGO,17,38,3,0,0,1.2413793103448276
2025-12-01,BBY,3,8,19,1,0,0.41935483870967744
2026-01-01,BBY,3,8,19,1,0,0.41935483870967744
2026-02-01,BBY,3,8,19,1,0,0.41935483870967744
2026-03-01,BBY,3,7,20,1,0,0.3870967741935484
2025-12-01,BKNG,10,26,11,0,0,0.9787234042553191
2026-01-01,BKNG,9,25,11,0,0,0.9555555555555556
2026-02-01,BKNG,9,26,10,0,0,0.9777777777777777
2026-03-01,BKNG,11,26,8,0,0,1.0666666666666667
2025-12-01,BTG,1,8,6,1,0,0.5625
2026-01-01,BTG,1,8,6,1,0,0.5625
2026-02-01,BTG,1,8,6,1,0,0.5625
2026-03-01,BTG,1,8,6,1,0,0.5625
2025-12-01,BWA,2,10,9,0,0,0.6666666666666666
2026-01-01,BWA,2,9,9,0,0,0.65
2026-02-01,BWA,2,8,10,0,0,0.6
2026-03-01,BWA,2,9,8,1,0,0.6
2025-12-01,CCJ,3,12,3,0,0,1.0
2026-01-01,CCJ,3,12,3,0,0,1.0
2026-02-01,CCJ,4,12,3,0,0,1.0526315789473684
2026-03-01,CCJ,4,12,3,0,0,1.0526315789473684
2025-12-01,CDE,1,7,3,0,0,0.8181818181818182
2026-01-01,CDE,1,7,3,0,0,0.8181818181818182
2026-02-01,CDE,1,7,3,0,0,0.8181818181818182
2026-03-01,CDE,1,6,4,0,0,0.7272727272727273
2025-12-01,CDW,3,9,5,0,0,0.8823529411764706
2026-01-01,CDW,3,9,5,0,0,0.8823529411764706
2026-02-01,CDW,3,8,6,0,0,0.8235294117647058
2026-03-01,CDW,4,6,7,0,0,0.8235294117647058
2025-12-01,CHKP,8,12,23,0,0,0.6511627906976745
2026-01-01,CHKP,8,12,24,0,0,0.6363636363636364
2026-02-01,CHKP,8,12,24,0,0,0.6363636363636364
2026-03-01,CHKP,9,12,23,0,0,0.6818181818181818
2025-12-01,COST,12,15,17,0,0,0.8863636363636364
2026-01-01,COST,13,15,14,1,0,0.9302325581395349
2026-02-01,COST,13,17,13,1,0,0.9545454545454546
2026-03-01,COST,13,17,13,1,0,0.9545454545454546
2025-12-01,CRM,14,30,13,0,1,0.9655172413793104
2026-01-01,CRM,15,30,13,0,1,0.9830508474576272
2026-02-01,CRM,15,29,13,0,1,0.9827586206896551
2026-03-01,CRM,14,30,13,0,1,0.9655172413793104
2025-12-01,CSCO,7,13,11,0,0,0.8709677419354839
