date,ticker,insider_name,transaction_type,shares,price,value,filing_date
2025-04-01,AAPL,O'BRIEN DEIRDRE,,44318.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,O'BRIEN DEIRDRE,,22688.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,O'BRIEN DEIRDRE,,0.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,O'BRIEN DEIRDRE,,171508.0,223.19,38278870.52,2025-04-03
2025-04-01,AAPL,O'BRIEN DEIRDRE,,211222.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,WILLIAMS JEFFREY E,,44318.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,WILLIAMS JEFFREY E,,22688.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,WILLIAMS JEFFREY E,,0.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,WILLIAMS JEFFREY E,,425552.0,223.19,94978950.88,2025-04-03
2025-04-01,AAPL,WILLIAMS JEFFREY E,,464594.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,Adams Katherine L.,,44318.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,Adams Katherine L.,,22688.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,Adams Katherine L.,,0.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,Adams Katherine L.,,217980.0,223.19,48650956.2,2025-04-03
2025-04-01,AAPL,Adams Katherine L.,,253693.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,COOK TIMOTHY D,,44318.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,COOK TIMOTHY D,,85080.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,COOK TIMOTHY D,,0.0,0.0,0.0,2025-04-03
2025-04-01,AAPL,COOK TIMOTHY D,,3388431.0,223.19,756263914.89,2025-04-03
2025-04-01,AAPL,COOK TIMOTHY D,,3498863.0,0.0,0.0,2025-04-03
2025-04-02,AAPL,WILLIAMS JEFFREY E,,390059.0,225.03,87774976.77,2025-04-03
2025-04-02,AAPL,WILLIAMS JEFFREY E,,392539.0,224.34,88062199.26,2025-04-03
2025-04-02,AAPL,WILLIAMS JEFFREY E,,409831.0,223.48,91589031.88,2025-04-03
2025-04-02,AAPL,Adams Katherine L.,,179158.0,224.62,40242469.96,2025-04-03
2025-04-02,AAPL,Adams Katherine L.,,184806.0,223.9,41378063.4,2025-04-03
2025-04-02,AAPL,Adams Katherine L.,,207149.0,222.87,46167297.63,2025-04-03
2025-04-02,AAPL,Adams Katherine L.,,216380.0,221.68,47967118.4,2025-04-03
2025-04-02,AAPL,COOK TIMOTHY D,,3280295.0,224.76,737279104.1999999,2025-04-03
2025-04-02,AAPL,COOK TIMOTHY D,,3290885.0,223.97,737059513.45,2025-04-03
2025-04-02,AAPL,COOK TIMOTHY D,,3352962.0,222.99,747676996.38,2025-04-03
2025-04-02,AAPL,COOK TIMOTHY D,,3381736.0,221.77,749967592.72,2025-04-03
2025-04-15,AAPL,Parekh Kevan,,25553.0,0.0,0.0,2025-04-17
2025-04-15,AAPL,Parekh Kevan,,17449.0,0.0,0.0,2025-04-17
2025-04-15,AAPL,Parekh Kevan,,5530.0,0.0,0.0,2025-04-17
2025-04-15,AAPL,Parekh Kevan,,9139.0,202.14,1847357.46,2025-04-17
2025-04-15,AAPL,Parekh Kevan,,16458.0,0.0,0.0,2025-04-17
2025-04-15,AAPL,KONDO CHRIS,,10372.0,0.0,0.0,2025-04-17
2025-04-15,AAPL,KONDO CHRIS,,9491.0,0.0,0.0,2025-04-17
2025-04-15,AAPL,KONDO CHRIS,,6232.0,0.0,0.0,2025-04-17
2025-04-15,AAPL,KONDO CHRIS,,1914.0,0.0,0.0,2025-04-17
2025-04-15,AAPL,KONDO CHRIS,,20019.0,202.14,4046640.6599999997,2025-04-17
2025-04-15,AAPL,KONDO CHRIS,,22906.0,0.0,0.0,2025-04-17
2025-04-23,AAPL,Parekh Kevan,,4569.0,206.0,941214.0,2025-04-25
2025-05-12,AAPL,KONDO CHRIS,,15533.0,208.1933,3233866.5289,2025-05-14
2025-08-08,AAPL,O'BRIEN DEIRDRE,,136687.0,223.2,30508538.4,2025-08-12
2025-08-25,AAPL,KONDO CHRIS,,15098.0,0.0,0.0,2025-08-27
2025-08-28,AAPL,LEVINSON ARTHUR D,,4069576.0,232.07,944426502.3199999,2025-08-29
2025-09-28,AAPL,Khan Sabih,,48932.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,Khan Sabih,,48932.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,Parekh Kevan,,48932.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,Parekh Kevan,,48932.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,O'BRIEN DEIRDRE,,48932.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,O'BRIEN DEIRDRE,,48932.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,Adams Katherine L.,,48932.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,Adams Katherine L.,,48932.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,COOK TIMOTHY D,,146795.0,0.0,0.0,2025-09-30
2025-09-28,AAPL,COOK TIMOTHY D,,48932.0,0.0,0.0,2025-09-30
2025-10-01,AAPL,Khan Sabih,,0.0,0.0,0.0,2025-10-03
2025-10-01,AAPL,Khan Sabih,,1042772.0,255.45,266376107.39999998,2025-10-03
2025-10-01,AAPL,Khan Sabih,,1092162.0,0.0,0.0,2025-10-03
2025-10-01,AAPL,O'BRIEN DEIRDRE,,0.0,0.0,0.0,2025-10-03
2025-10-01,AAPL,O'BRIEN DEIRDRE,,179700.0,255.45,45904365.0,2025-10-03
2025-10-01,AAPL,O'BRIEN DEIRDRE,,229090.0,0.0,0.0,2025-10-03
2025-10-01,AAPL,Adams Katherine L.,,0.0,0.0,0.0,2025-10-03
2025-10-01,AAPL,Adams Katherine L.,,226283.0,255.45,57803992.349999994,2025-10-03
2025-10-01,AAPL,Adams Katherine L.,,271561.0,0.0,0.0,2025-10-03
2025-10-01,AAPL,COOK TIMOTHY D,,0.0,0.0,0.0,2025-10-03
2025-10-01,AAPL,COOK TIMOTHY D,,3410258.0,255.45,871150406.0999999,2025-10-03
2025-10-01,AAPL,COOK TIMOTHY D,,3557501.0,0.0,0.0,2025-10-03
2025-10-02,AAPL,O'BRIEN DEIRDRE,,136687.0,258.08,35276180.96,2025-10-03
2025-10-02,AAPL,O'BRIEN DEIRDRE,,138427.0,257.36,35625572.72,2025-10-03
2025-10-02,AAPL,Adams Katherine L.,,179158.0,257.54,46140351.32,2025-10-03
2025-10-02,AAPL,Adams Katherine L.,,200709.0,256.6,51501929.400000006,2025-10-03
2025-10-02,AAPL,Adams Katherine L.,,214683.0,255.96,54950260.68,2025-10-03
2025-10-02,AAPL,Adams Katherine L.,,222783.0,254.83,56771791.89,2025-10-03
2025-10-02,AAPL,COOK TIMOTHY D,,3280295.0,257.57,844905583.15,2025-10-03
2025-10-02,AAPL,COOK TIMOTHY D,,3340046.0,256.62,857122604.52,2025-10-03
2025-10-02,AAPL,COOK TIMOTHY D,,3379339.0,255.86,864637676.5400001,2025-10-03
2025-10-02,AAPL,COOK TIMOTHY D,,3401863.0,254.83,866896748.2900001,2025-10-03
2025-10-15,AAPL,Parekh Kevan,,20442.0,0.0,0.0,2025-10-17
2025-10-15,AAPL,Parekh Kevan,,11633.0,0.0,0.0,2025-10-17
2025-10-15,AAPL,Parekh Kevan,,0.0,0.0,0.0,2025-10-17
2025-10-15,AAPL,Parekh Kevan,,12964.0,249.34,3232443.7600000002,2025-10-17
