ticker,sector,industry,pe_ratio,forward_pe,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,debt_equity,current_ratio,quick_ratio,market_cap,beta,dividend_yield,payout_ratio,analyst_upside,num_analysts,recommendation,value_score,growth_score,quality_score,pe_ratio_rank,pb_ratio_rank,analyst_upside_rank,revenue_growth_rank,earnings_growth_rank,roe_rank,profit_margin_rank,current_ratio_rank,fundamental_composite,fundamental_rank
CRM,Technology,Software - Application,35.74999,20.38426,4.196838,6.3143144,,21.165,0.17913,0.23862,0.77729,0.12184,0.059499998,0.086,0.386,19.385,0.984,0.785,254574231552,1.253,0.63,0.22,0.234294803595529,53,buy,0.5893939393939394,0.4557416267942584,0.29797979797979796,0.44999999999999996,0.7272727272727273,0.5909090909090909,0.22727272727272727,0.6842105263157895,0.4090909090909091,0.3181818181818182,0.16666666666666666,0.4551913875598086,17.0
C,Financial Services,Banks - Diversified,16.425562,11.883955,1.078785,2.855951,,,0.19488001,0.30606002,0.0,0.06995,0.0058399998,0.116,0.232,,,,215293001728,1.196,2.03,0.3202,0.014271483539974428,21,buy,0.6303030303030304,0.4300239234449761,0.3181818181818182,0.8,0.9545454545454546,0.13636363636363635,0.38636363636363635,0.47368421052631576,0.2727272727272727,0.36363636363636365,,0.46656897926634766,16.0
AAPL,Technology,Consumer Electronics,36.492638,29.77582,54.618313,9.720974,,28.345,0.26915002,0.31647,0.46905,1.7142199,0.22964,0.079,0.912,152.411,0.893,0.771,4045490356224,1.107,0.38,0.1367,0.05541753484959644,41,buy,0.2545454545454546,0.5645933014354066,0.5336700336700336,0.4,0.0,0.36363636363636365,0.18181818181818182,0.9473684210526315,1.0,0.5454545454545454,0.05555555555555555,0.4467995746943115,18.0
AMZN,Consumer Cyclical,Internet Retail,32.668064,29.482235,6.6871915,3.576496,,18.233,0.11063,0.11057,0.50046,0.24327,0.07495,0.134,0.364,43.405,1.009,0.76,2472539062272,1.372,,0.0,0.2780404159455301,60,strong_buy,0.6378787878787878,0.5657894736842105,0.3501683501683502,0.55,0.5909090909090908,0.7727272727272727,0.5,0.631578947368421,0.5,0.2727272727272727,0.2777777777777778,0.5263343965975544,10.0
NFLX,Communication Services,Entertainment,39.182007,28.880049,15.288979,9.147424,,31.358,0.24047,0.28219998,0.48084998,0.42861,0.14739999,0.172,0.087,65.822,1.332,1.132,396804128768,1.706,,0.0,0.3475555555555556,38,buy,0.5075757575757576,0.4461722488038277,0.5235690235690236,0.25,0.36363636363636365,0.9090909090909091,0.6818181818181818,0.21052631578947367,0.7727272727272727,0.4090909090909091,0.3888888888888889,0.4908825093035619,14.0
GOOGL,Communication Services,Internet Content & Information,30.961502,28.024942,9.791153,9.854948,,25.689,0.32233003,0.30512,0.59172,0.3545,0.16275999,0.159,0.353,11.424,1.747,1.563,3798846144512,1.07,0.27,0.0809,0.05028175615355179,54,strong_buy,0.4893939393939393,0.5849282296650717,0.7222222222222222,0.65,0.5,0.3181818181818182,0.5909090909090909,0.5789473684210527,0.7272727272727273,0.7727272727272727,0.6666666666666666,0.5926794258373205,5.0
INTC,Technology,Semiconductors,623.5834,62.830612,1.6762993,3.3396873,,19.252,0.0037099998,0.06284,0.33023,0.0018600001,-0.00463,0.028,,39.881,1.602,1.057,178469552128,1.344,,0.0,0.019384738741146545,36,hold,0.37878787878787873,0.09090909090909091,0.2760942760942761,0.0,0.8636363636363636,0.2727272727272727,0.09090909090909091,,0.13636363636363635,0.13636363636363635,0.5555555555555556,0.2472222222222222,22.0
ORCL,Technology,Software - Infrastructure,37.015068,24.68384,18.853718,9.255174,,25.654,0.25280002,0.31997,0.68543,0.69026,0.06864,0.142,0.909,432.511,0.909,0.773,564713684992,1.659,1.02,0.35709998,0.4799095395573645,39,buy,0.5409090909090909,0.7200956937799043,0.49158249158249157,0.35,0.2727272727272727,1.0,0.5454545454545454,0.8947368421052632,0.9090909090909091,0.45454545454545453,0.1111111111111111,0.5888264221158958,6.0
AMD,Technology,Semiconductors,112.01563,33.298965,5.759775,10.932741,,57.425,0.10323,0.13736,0.51457,0.05317,0.025980001,0.356,0.603,6.366,2.308,1.176,350142922752,1.927,,0.0,0.3150179941414424,43,buy,0.5484848484848485,0.8720095693779905,0.4326599326599327,0.09999999999999998,0.6818181818181819,0.8636363636363636,0.9545454545454546,0.7894736842105263,0.18181818181818182,0.22727272727272727,0.8888888888888888,0.6269710260499735,4.0
CRWD,Technology,Software - Infrastructure,,98.30737,29.8271,26.24516,,-1236.737,-0.06882,-0.05589,0.74277,-0.088149995,-0.02001,0.222,,20.154,1.811,1.615,119813562368,1.094,,0.0,0.16685120932532382,48,buy,0.3409090909090909,0.7727272727272727,0.3013468013468013,,0.18181818181818177,0.5,0.7727272727272727,,0.09090909090909091,0.09090909090909091,0.7222222222222222,0.48017676767676765,15.0
