id,feature_name,regression_id,marginal_sharpe,marginal_rank_ic,marginal_excess_return,feature_importance_pct,rank_ic_p_value,sharpe_p_value,is_significant,step_number,total_features_at_step,created_at
18,momentum,reg_20260313_232925_7937fefc,5.551115123125783e-17,-0.030380677303306763,0.0,0.0,6.48872222125318e-09,0.4782062269580275,1,9,36,2026-03-14T05:12:47.783140
2,valuation,reg_20260313_232925_7937fefc,0.0,0.0,0.0,0.0,,,0,1,12,2026-03-14T00:38:43.843658
4,rsi,reg_20260313_232925_7937fefc,0.0,-0.0015800775318298155,0.0,0.04477777777777778,0.4647304254795449,0.8450555528731338,0,2,13,2026-03-14T01:14:23.034891
6,macd,reg_20260313_232925_7937fefc,0.0,0.01363309086696135,0.0,0.03344444444444444,4.773960891675097e-05,0.14281394632503003,1,3,16,2026-03-14T01:47:59.382176
8,bollinger,reg_20260313_232925_7937fefc,0.0,-0.16808978482771963,0.0,0.0,1.8880237356454894e-31,8.849932564343353e-12,1,4,21,2026-03-14T02:21:53.510031
10,atr,reg_20260313_232925_7937fefc,0.0,0.028216398019456024,0.0,0.04555555555555556,1.889869064099021e-08,0.7225782934990811,1,5,22,2026-03-14T02:55:36.822899
12,adx,reg_20260313_232925_7937fefc,0.0,-0.0010349437936645611,0.0,0.01911111111111111,0.6288545225149517,0.6402315006060376,0,6,25,2026-03-14T03:29:23.818219
14,obv,reg_20260313_232925_7937fefc,0.0,-0.05303436057436908,0.0,0.07188888888888889,1.6407451150976672e-06,0.6858726887709399,1,7,27,2026-03-14T04:03:21.250353
16,gap,reg_20260313_232925_7937fefc,0.0,0.0020963162570453997,0.0,0.0,0.22764904970410083,0.8598432573777123,0,8,31,2026-03-14T04:38:00.924883
20,mean_reversion,reg_20260313_232925_7937fefc,-5.551115123125783e-17,-0.0005386942553032847,0.0,0.0,0.7756566763461077,0.7392787871067368,0,10,39,2026-03-14T05:48:03.519119
