ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi,pe_ratio,pb_ratio
PLUG,1,0.3744356754476934,Industrials,0.003134796238244514,0.0008278822232673542,0.07208593221116559,0.010026847772998294,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,33.61343847527489,33.61343847527489,,
K,2,0.33931284608297796,Consumer Defensive,0.003134796238244514,0.013240153637900756,0.0045073994953084,0.0006269601738540919,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,56.00007846829881,56.00007846829881,,
SMCI,3,0.28404481384016655,Technology,0.003134796238244514,0.0011104962421371154,0.05374053469143653,0.0074750806996861496,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,16.928370185022132,16.928370185022132,,
XPEV,4,0.12442813630606278,Consumer Cyclical,0.003134796238244514,0.0014074416820884746,0.042402227093859816,0.005897970148472075,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,27.755911276781717,27.755911276781717,,
RUN,5,0.11729464355938458,Technology,0.003134796238244514,0.0008420170175145625,0.07087583811718795,0.009858528811182349,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,27.67624482482401,27.67624482482401,,
SEDG,6,0.1107667670854424,Technology,0.003134796238244514,0.0008809174206758376,0.0677460343325873,0.009423186364397929,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,46.11172025782419,46.11172025782419,,
BTG,7,0.1010487132786374,Basic Materials,0.003134796238244514,0.0019696373423044033,0.03029931477408816,0.004214506319707172,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,30.303022540889884,30.303022540889884,,
INTC,8,0.09622288631102693,Technology,0.003134796238244514,0.0014866562756493424,0.040142878217907546,0.005583704291731732,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,41.81818525742739,41.81818525742739,,
DIS,9,0.09348725660230132,Communication Services,0.003134796238244514,0.003190265674224558,0.018706486518488885,0.0026019930232584285,0.0031347962382445144,100.0,69.805,100.0,69.805,50.0,32.82673919074297,32.82673919074297,15.39,1.5
BILL,10,0.07002118894595459,Technology,0.003134796238244514,0.0015587947071949671,0.038285132448692104,0.005325299725716151,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,35.04089921118023,35.04089921118023,,
AI,11,0.061979060362586304,Technology,0.003134796238244514,0.0014603108115758526,0.040867095793722864,0.005684439888324396,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,35.146441140146095,35.146441140146095,,
WBD,12,0.048838980496720766,Communication Services,0.003134796238244514,0.0015461257738196665,0.038598840298641975,0.005368935158596836,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,49.48024754290097,49.48024754290097,,
LEU,13,0.04526130837622405,Energy,0.003134796238244514,0.0009904795666610677,0.06025228973320254,0.008380838238446655,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,42.608151985756564,42.608151985756564,,
JD,14,0.04017778673598745,Consumer Cyclical,0.003134796238244514,0.0023442280813476303,0.025457702814895032,0.0035410586080434248,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,14.124866749952972,14.124866749952972,,
NVDA,15,0.033136314855373675,Technology,0.003134796238244514,0.0019127168076964619,0.031200992005268265,0.004339925802539651,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,48.02276187819789,48.02276187819789,,
NUE,16,0.029948223351437236,Basic Materials,0.003134796238244514,0.0025731784953431994,0.02319258533105371,0.003225990362384864,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,8.304278320070168,8.304278320070168,,
DNN,17,0.026523586657147057,Energy,0.003134796238244514,0.0015311323067566918,0.0389768157604181,0.0054215099440078915,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,24.637685916773634,24.637685916773634,,
GOLD,18,0.014227443823881174,Financial Services,0.003134796238244514,0.0021638936852756262,0.02757929478299576,0.0038361630625193123,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,23.938209835441796,23.938209835441796,,
MRNA,19,0.013886295421896804,Healthcare,0.003134796238244514,0.0013992472261222541,0.0426505486029567,0.005932510618354353,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,26.726064907601952,26.726064907601952,,
EQIX,20,0.005662039807029845,Real Estate,0.003134796238244514,0.003482420178117087,0.01713712268275084,0.002383701162437397,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,36.544298198788965,36.544298198788965,,
CHPT,21,0.005003223515289193,Consumer Cyclical,0.003134796238244514,0.0012047685082808737,0.049535376642967796,0.006890161030618408,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,27.692310626690215,27.692310626690215,,
KGC,22,0.000385791586918582,Basic Materials,0.003134796238244514,0.0021310296858258982,0.028004613085504993,0.0038953230365047714,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,36.749124396708616,36.749124396708616,,
TWLO,23,0.00022418142606244894,Technology,0.003134796238244514,0.001638673635950039,0.036418882025083775,0.00506571219830514,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,47.0389897166113,47.0389897166113,,
LI,24,-0.0006247869843125358,Consumer Cyclical,0.003134796238244514,0.0019364029941474925,0.030819339778780538,0.004286839594734107,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,51.17891853611938,51.17891853611938,,
ALGN,25,-0.001636180204751865,Healthcare,0.003134796238244514,0.0018025423175337045,0.03310805036019004,0.004605189540310435,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,20.955941132811617,20.955941132811617,,
BAC,26,-0.002960238381937767,Financial Services,0.003134796238244514,0.0035572220970609774,0.016776760122621196,0.0023335762570269596,0.0031347962382445144,100.0,45.1,100.0,45.1,50.0,32.01444126444599,32.01444126444599,12.2,4.13
HAL,27,-0.0039045229843488872,Energy,0.003134796238244514,0.0022104296908777394,0.02699867001948465,0.003755400617776213,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,28.18925875231413,28.18925875231413,,
PG,28,-0.004351372028148406,Consumer Defensive,0.003134796238244514,0.005012623570944083,0.011905673941129315,0.0016560288059112563,0.003134796238244514,100.0,26.519999999999996,100.0,26.519999999999996,50.0,34.735851836153444,34.735851836153444,21.96,7.22
HD,29,-0.006168348589521021,Consumer Cyclical,0.003134796238244514,0.004105838495344184,0.014535072895086393,0.0020217670607565598,0.0031347962382445144,96.91085613415711,59.97,100.0,59.97,50.0,20.51627673464924,20.51627673464924,22.66,2.12
PSX,30,-0.0065264970176819185,Energy,0.003134796238244514,0.0026716925874728306,0.022337398436146405,0.00310703748836806,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,9.924658451882337,9.924658451882337,,
PAAS,31,-0.006579129654319312,Basic Materials,0.003134796238244514,0.0018819825839451177,0.03171052821337899,0.004410800130398668,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,20.70176054365382,20.70176054365382,,
LEN,32,-0.010729735007088381,Consumer Cyclical,0.003134796238244514,0.002673752485854602,0.0223201893746738,0.003104643780824728,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,2.0584965513827456,2.0584965513827456,,
VST,33,-0.011134709285859915,Utilities,0.003134796238244514,0.001436040837177802,0.0415577748767673,0.005780510422661023,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,40.38414608895252,40.38414608895252,,
LRCX,34,-0.011268976064760381,Technology,0.003134796238244514,0.0019532779952002198,0.030553081523432727,0.004249804199438725,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,38.378753995360555,38.378753995360555,,
MDB,35,-0.013173930231500514,Technology,0.003134796238244514,0.001363817149530088,0.04375855065749995,0.0060866290100057225,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,5.722357581978159,5.722357581978159,,
AMT,36,-0.013693995893966249,Real Estate,0.003134796238244514,0.0038720526489433335,0.015412667966063321,0.0021438368171306935,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,14.914044027801637,14.914044027801637,,
REGN,37,-0.014204254694273376,Healthcare,0.003134796238244514,0.0022931708990869735,0.02602451559499583,0.0036198998644096747,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,20.883642865541688,20.883642865541688,,
FCX,38,-0.015213708245477041,Basic Materials,0.003134796238244514,0.0019496503151501935,0.030609931104841295,0.00425771173536505,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,16.24238805297516,16.24238805297516,,
DVN,39,-0.016120848661804434,Energy,0.003134796238244514,0.002269199875741897,0.0262994293553661,0.003658139203783971,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,24.649668641170607,24.649668641170607,,
BIDU,40,-0.016378930329952007,Communication Services,0.003134796238244514,0.002001440402528763,0.02981785605500781,0.004147537451619847,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,29.614513083635828,29.614513083635828,,
CVS,41,-0.018058547279626674,Healthcare,0.003134796238244514,0.002984655433241778,0.019995159629016098,0.002781241993370397,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,15.002896719774725,15.002896719774725,,
JNJ,42,-0.01816113510678626,Healthcare,0.003134796238244514,0.004847251734924685,0.012311855271574176,0.0017125269081578094,0.0031347962382445144,66.08486307553416,47.58500000000001,100.0,47.58500000000001,50.0,31.234844456512306,31.234844456512306,33.23,2.83
F,43,-0.018536775326047698,Consumer Cyclical,0.003134796238244514,0.0028604372732554894,0.020863475099860772,0.0029020209966798705,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,25.67563171660666,25.67563171660666,,
MPC,44,-0.018604885447912677,Energy,0.003134796238244514,0.002754673927265523,0.021664510356229582,0.0030134416071935354,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,18.098359041191742,18.098359041191742,,
