ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi
PLUG,1,0.5258174943516157,Industrials,0.003134796238244514,0.000827882223267354,0.07208593221116559,0.010026847772998294,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,33.61343847527489,33.61343847527489
K,2,0.4076141820506447,Consumer Defensive,0.003134796238244514,0.013240153637900754,0.0045073994953084,0.0006269601738540919,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,56.00007846829881,56.00007846829881
SMCI,3,0.3367574042360703,Technology,0.003134796238244514,0.0011104962421371151,0.05374053469143653,0.0074750806996861496,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,16.928370185022132,16.928370185022132
XPEV,4,0.20105392250265344,Consumer Cyclical,0.003134796238244514,0.0014074416820884742,0.042402227093859816,0.005897970148472075,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,27.755911276781717,27.755911276781717
BILL,5,0.1790368408772181,Technology,0.003134796238244514,0.0015587947071949667,0.038285132448692104,0.005325299725716151,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,35.04089921118023,35.04089921118023
AI,6,0.170915100234646,Technology,0.003134796238244514,0.0014603108115758523,0.040867095793722864,0.005684439888324396,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,35.146441140146095,35.146441140146095
SEDG,7,0.1432630518658195,Technology,0.003134796238244514,0.0008809174206758374,0.0677460343325873,0.009423186364397929,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,46.11172025782419,46.11172025782419
NVDA,8,0.13214973924293064,Technology,0.003134796238244514,0.0019127168076964614,0.031200992005268265,0.004339925802539651,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,48.02276187819789,48.02276187819789
JD,9,0.11272319524300843,Consumer Cyclical,0.003134796238244514,0.00234422808134763,0.025457702814895032,0.0035410586080434248,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,14.124866749952972,14.124866749952972
BTG,10,0.1112568781893716,Basic Materials,0.003134796238244514,0.001969637342304403,0.03029931477408816,0.004214506319707172,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,30.303022540889884,30.303022540889884
INTC,11,0.11047106626635611,Technology,0.003134796238244514,0.0014866562756493422,0.040142878217907546,0.005583704291731732,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,41.81818525742739,41.81818525742739
PAAS,12,0.10414281474132339,Basic Materials,0.003134796238244514,0.0018819825839451172,0.03171052821337899,0.004410800130398668,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,20.70176054365382,20.70176054365382
RUN,13,0.10275935516248316,Technology,0.003134796238244514,0.0008420170175145623,0.07087583811718795,0.009858528811182349,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,27.67624482482401,27.67624482482401
KGC,14,0.09125215994486503,Basic Materials,0.003134796238244514,0.002131029685825898,0.028004613085504993,0.0038953230365047714,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,36.749124396708616,36.749124396708616
WBD,15,0.09049849122681675,Communication Services,0.003134796238244514,0.001546125773819666,0.038598840298641975,0.005368935158596836,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,49.48024754290097,49.48024754290097
EQIX,16,0.08791432786531769,Real Estate,0.003134796238244514,0.003482420178117086,0.01713712268275084,0.002383701162437397,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,36.544298198788965,36.544298198788965
DLTR,17,0.08710061955997053,Consumer Defensive,0.003134796238244514,0.002206524732217911,0.02704645044485539,0.0037620466725198504,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,61.04526159984007,61.04526159984007
LEU,18,0.07792915478416487,Energy,0.003134796238244514,0.0009904795666610675,0.06025228973320254,0.008380838238446655,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,42.608151985756564,42.608151985756564
MRNA,19,0.06655431710069154,Healthcare,0.003134796238244514,0.0013992472261222537,0.0426505486029567,0.005932510618354353,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,26.726064907601952,26.726064907601952
VST,20,0.06416805517397389,Utilities,0.003134796238244514,0.0014360408371778017,0.0415577748767673,0.005780510422661023,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,40.38414608895252,40.38414608895252
DNN,21,0.056997645278321976,Energy,0.003134796238244514,0.0015311323067566914,0.0389768157604181,0.0054215099440078915,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,24.637685916773634,24.637685916773634
TWLO,22,0.05150925143560834,Technology,0.003134796238244514,0.0016386736359500387,0.036418882025083775,0.00506571219830514,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,47.0389897166113,47.0389897166113
